Hello|你好
Hi|嗨
Goodmorning|早安
Goodafternoon|午安
Goodevening|晚上好
Goodnight|晚安
Howareyou?|你好嗎
I'mfine|我很好
Nicetomeetyou|很高興認識你
Longtimenosee|好久不見
What'sup?|怎麼了
How'sitgoing?|最近如何
Seeyoulater|待會見
Seeyoutomorrow|明天見
Takecare|保重
Haveaniceday|祝你有美好的一天
Goodluck|祝你好運
Welcome|歡迎
Comein|請進
Haveaseat|請坐
Thankyou|謝謝你
Thanksalot|非常感謝
You'rewelcome|不客氣
Noproblem|沒問題
Mypleasure|不客氣
Excuseme|不好意思
I'msorry|對不起
Pardonme|請再說一次
That'sokay|沒關係
Nevermind|沒關係
Yes|是的
No|不是
Maybe|也許
Ofcourse|當然
Sure|當然可以
Iagree|我同意
Idisagree|我不同意
Ithinkso|我想是的
Idon'tthinkso|我不這麼認為
Really?|真的嗎
Iknow|我知道
Idon'tknow|我不知道
Iunderstand|我了解
Idon'tunderstand|我不懂
Pleaserepeat|請再說一次
Speakslowly|請說慢一點
Canyouhelpme?|你能幫我嗎
Pleasehelpme|請幫幫我
Whatdoyoumean?|你是什麼意思
Howdoyousaythis?|這個怎麼說
Whattimeisit?|幾點了
It'soneo'clock|一點鐘
It'stwoo'clock|兩點鐘
It'shalfpastthree|三點半
It'sfourthirty|四點半
Rightnow|現在
Soon|很快
Later|稍後
Today|今天
Tomorrow|明天
Yesterday|昨天
Thismorning|今天早上
Thisafternoon|今天下午
Tonight|今晚
Thisweek|本週
Nextweek|下週
Lastweek|上週
Thismonth|本月
Nextmonth|下個月
Lastmonth|上個月
Thisyear|今年
Nextyear|明年
Lastyear|去年
Monday|星期一
Tuesday|星期二
Wednesday|星期三
Thursday|星期四
Friday|星期五
Saturday|星期六
Sunday|星期日
January|一月
February|二月
March|三月
April|四月
May|五月
June|六月
July|七月
August|八月
September|九月
October|十月
November|十一月
December|十二月
Whatistoday'sdate?|今天幾月幾日
Howoldareyou?|你幾歲
Iamtwentyyearsold|我二十歲
Whereareyoufrom?|你來自哪裡
IamfromTaiwan|我來自台灣
Wheredoyoulive?|你住在哪裡
IliveinTaipei|我住在台北
Whatisyourname?|你叫什麼名字
MynameisTom|我叫湯姆
Nicetomeetyou|很高興認識你
I'mhungry|我餓了
I'mthirsty|我渴了
I'mtired|我累了
I'mbusy|我很忙
I'mfree|我有空
I'mhappy|我很開心
I'msad|我很難過
I'msick|我生病了

Ifeelgood|我感覺很好
Ifeelbad|我感覺不好
Let'sgo|我們走吧
Waitamoment|等一下
Hurryup|快點
Comeon|加油
Becareful|小心
Don'tworry|別擔心
Calmdown|冷靜一點
Goodjob|做得好
Ilikeit|我喜歡
Iloveit|我很喜歡
Idon'tlikeit|我不喜歡
That'sgreat|太棒了
That'swonderful|太好了
That'samazing|真令人驚訝
Soundsgood|聽起來不錯
Soundsgreat|聽起來很棒
Noway|不可能
Whynot?|為什麼不呢
Let'stry|試試看吧
Icandoit|我做得到
Ican'tdoit|我做不到
Ineedhelp|我需要幫助
Ineedmoretime|我需要更多時間
Iamready|我準備好了
Let'sstart|開始吧
Let'sstop|停止吧
Let'stakeabreak|休息一下吧
I'mfinished|我完成了
Howmuchisit?|多少錢
It'stooexpensive|太貴了
It'scheap|很便宜
I'lltakeit|我要買
CanIpaybycard?|可以刷卡嗎
Doyouhavecash?|你有現金嗎
Keepthechange|不用找了
Iamjustlooking|我只是看看
Doyouhavethissize?|有這個尺寸嗎
CanItryiton?|我可以試穿嗎
MayIseethemenu?|我可以看菜單嗎
I'dliketoorder|我要點餐
I'dlikesomewater|我要一些水
I'dlikesometea|我要一杯茶
I'dlikesomecoffee|我要一杯咖啡
Thefoodisdelicious|食物很好吃
Checkplease|請買單
I'mfull|我吃飽了
Cheers|乾杯
Enjoyyourmeal|請慢用
Whereistherestroom?|洗手間在哪裡
Whereisthestation?|車站在哪裡
HowcanIgetthere?|我該怎麼去那裡
Ineedataxi|我需要計程車
I'mlost|我迷路了
Canyoushowmeonthemap?|你可以在地圖上指給我看嗎
Howfarisit?|有多遠
Turnleft|左轉
Turnright|右轉
Gostraight|直走
Callmelater|晚點打給我
Sendmeamessage|傳訊息給我
Imissedyourcall|我漏接你的電話
Myphoneisdead|我的手機沒電了
Theinternetisslow|網路很慢
Canyouhearme?|你聽得到我嗎
Icanhearyou|我聽得到你
Pleasecallagain|請再打一次
Stayintouch|保持聯絡
Seeyouagain|再見
One|一
Two|二
Three|三
Four|四
Five|五
Ten|十
Twenty|二十
Fifty|五十
Onehundred|一百
Onethousand|一千
